Sex,MouseID,Day,Hour,AvgActivity
Female,f11,143,11,7.3
Female,f11,143,12,2.5833333333333335
Female,f11,143,13,3.0
Female,f11,143,14,23.55
Female,f11,143,15,7.666666666666667
Female,f11,143,16,5.066666666666666
Female,f11,143,17,5.533333333333333
Female,f11,143,18,17.516666666666666
Female,f11,143,19,3.7666666666666666
Female,f11,143,20,19.233333333333334
Female,f11,143,21,4.45
Female,f11,143,22,10.166666666666666
Female,f11,143,23,19.3
Female,f11,144,0,30.366666666666667
Female,f11,144,1,43.36666666666667
Female,f11,144,2,44.05053994224375
Female,f11,144,3,44.666666666666664
Female,f11,144,4,12.566666666666666
Female,f11,144,5,22.95
Female,f11,144,6,7.4
Female,f11,144,7,34.11666666666667
Female,f11,144,8,20.383333333333333
Female,f11,144,9,28.45
Female,f11,144,10,9.866666666666667
Female,f11,144,11,13.35
Female,f11,144,12,3.0166666666666666
Female,f11,144,13,2.966666666666667
Female,f11,144,14,6.55
Female,f11,144,15,16.416666666666668
Female,f11,144,16,4.766666666666667
Female,f11,144,17,5.016666666666667
Female,f11,144,18,18.85
Female,f11,144,19,1.3333333333333333
Female,f11,144,20,21.333333333333332
Female,f11,144,21,0.6166666666666667
Female,f11,144,22,17.5
Female,f11,144,23,7.65
Female,f11,145,0,24.233333333333334
Female,f11,145,1,53.283873275577086
Female,f11,145,2,48.06666666666667
Female,f11,145,3,28.733333333333334
Female,f11,145,4,24.483333333333334
Female,f11,145,5,36.75
Female,f11,145,6,21.333333333333332
Female,f11,145,7,24.783333333333335
Female,f11,145,8,40.666666666666664
Female,f11,145,9,16.733333333333334
Female,f11,145,10,15.866666666666667
Female,f11,145,11,4.633333333333334
Female,f11,145,12,6.05
Female,f11,145,13,3.5166666666666666
Female,f11,145,14,5.916666666666667
Female,f11,145,15,15.016666666666667
Female,f11,145,16,1.55
Female,f11,145,17,3.533333333333333
Female,f11,145,18,0.9333333333333333
Female,f11,145,19,25.75
Female,f11,145,20,1.9
Female,f11,145,21,7.75
Female,f11,145,22,32.416666666666664
Female,f11,145,23,14.25
Female,f11,146,0,17.983333333333334
Female,f11,146,1,41.8
Female,f11,146,2,26.166666666666668
Female,f11,146,3,37.15
Female,f11,146,4,17.916666666666668
Female,f11,146,5,25.683333333333334
Female,f11,146,6,48.1
Female,f11,146,7,52.46666666666667
Female,f11,146,8,47.516666666666666
Female,f11,146,9,42.36666666666667
Female,f11,146,10,24.683333333333334
Female,f11,146,11,11.8
Female,f11,146,12,9.533333333333333
Female,f11,146,13,10.6
Female,f11,146,14,6.116666666666666
Female,f11,146,15,8.233333333333333
Female,f11,146,16,1.05
Female,f11,146,17,2.9166666666666665
Female,f11,146,18,5.483333333333333
Female,f11,146,19,1.7666666666666666
Female,f11,146,20,4.716666666666667
Female,f11,146,21,30.950539942243754
Female,f11,146,22,15.033333333333333
